Inference for Stan model: anon_model_5d703b856fa2f28cab8159e4abe012f4.
4 chains, each with iter=20000; warmup=10000; thin=1; 
post-warmup draws per chain=10000, total post-warmup draws=40000.

                    mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
outl_loglike[163]   4.61  3.6e-3   0.66   3.33   4.18   4.59   5.03   5.95  33336    1.0
outl_loglike[164]   4.23  3.9e-3   0.77   2.62   3.74   4.25   4.73    5.7  38730    1.0
outl_loglike[165]   3.64  4.5e-3   0.92   1.69   3.08   3.69   4.25   5.32  40923    1.0
outl_loglike[166]   4.74  3.3e-3    0.6   3.68   4.32    4.7   5.12   6.02  32605    1.0
outl_loglike[167]   4.76  3.3e-3   0.59   3.72   4.34   4.71   5.13   6.03  31699    1.0
outl_loglike[168]   4.69  3.3e-3   0.61   3.59   4.26   4.66   5.08   5.98  33650    1.0
outl_loglike[169]   4.46  4.4e-3   0.77   2.81   4.03   4.49   4.95   5.88  30430    1.0
outl_loglike[170]   4.66  3.5e-3   0.61   3.57   4.24   4.63   5.05   5.95  31293    1.0
outl_loglike[171]   2.96  7.5e-3   1.33  -0.14   2.25   3.12   3.85   5.07  31164    1.0
outl_loglike[172]   4.73  3.3e-3    0.6   3.67   4.31   4.69   5.11   6.01  32294    1.0
outl_loglike[173]   4.54  3.6e-3   0.67   3.25   4.11   4.53   4.97   5.91  35348    1.0
outl_loglike[174]   2.49  7.3e-3   1.38  -0.77   1.75   2.64   3.42    4.7  35262    1.0
outl_loglike[175]    4.7  3.5e-3   0.62   3.58   4.28   4.66   5.09    6.0  31619    1.0
outl_loglike[176]   4.38  3.8e-3   0.71   2.95   3.92   4.37   4.84   5.79  34418    1.0
outl_loglike[177]   4.05  7.1e-3   1.06   1.62   3.55   4.17   4.71   5.71  22152    1.0
outl_loglike[178]   4.72  3.4e-3    0.6   3.65    4.3   4.68   5.11   6.01  31163    1.0
outl_loglike[179]   4.41  4.8e-3    0.8   2.66   3.97   4.45   4.92   5.86  27976    1.0
outl_loglike[180]   4.64  3.6e-3   0.64   3.44   4.21   4.61   5.04   5.96  32110    1.0
outl_loglike[181]   4.58  3.6e-3   0.66   3.33   4.14   4.56    5.0   5.92  33248    1.0
outl_loglike[182]  -7.15    0.02   2.82 -13.41  -8.84  -6.91  -5.19  -2.35  29837    1.0
outl_loglike[183]   3.12  5.3e-3   1.01    1.0    2.5   3.17    3.8   4.93  36044    1.0
outl_loglike[184]   3.93  4.0e-3   0.77   2.41   3.43   3.94   4.44   5.44  36621    1.0
outl_loglike[185]   4.11  3.8e-3   0.72   2.72   3.63   4.09   4.58   5.55  36024    1.0
outl_loglike[186]   4.79  3.2e-3   0.58   3.78   4.38   4.75   5.16   6.05  33675    1.0
outl_loglike[187]  -0.44    0.01   1.92  -4.68  -1.62  -0.24   0.92   2.76  28220    1.0
outl_loglike[188]   4.79  3.2e-3   0.58   3.78   4.38   4.75   5.16   6.05  33097    1.0
outl_loglike[189]   4.65  3.5e-3   0.64   3.45   4.22   4.62   5.06   5.97  33723    1.0
outl_loglike[190]    4.8  3.2e-3   0.58   3.79   4.38   4.75   5.17   6.05  33273    1.0
outl_loglike[191]   2.97  5.8e-3    1.1   0.57   2.31   3.05   3.71    4.9  36388    1.0
outl_loglike[192]   3.91  5.6e-3   1.04   1.55   3.35   4.03   4.59   5.63  34454    1.0
outl_loglike[193]   4.77  3.3e-3   0.59   3.74   4.35   4.73   5.14   6.03  32596    1.0
outl_loglike[194]   3.33  4.8e-3   0.93   1.37   2.76   3.37   3.96   5.06  36987    1.0
outl_loglike[195]   4.61  3.4e-3   0.63   3.47   4.18   4.58   5.01   5.93  34570    1.0
outl_loglike[196]   4.71  3.3e-3    0.6   3.64   4.29   4.67   5.09   5.99  33252    1.0
outl_loglike[197] -24.79    0.11  16.25 -60.01  -34.7 -23.77 -14.02   4.18  20204    1.0
outl_loglike[198]   4.69  3.3e-3   0.61   3.61   4.28   4.65   5.08   5.98  33393    1.0
outl_loglike[199]   3.19  5.2e-3   1.02   0.97   2.58   3.26   3.88    5.0  38177    1.0
outl_loglike[200]   1.07    0.05   5.76 -16.31   1.02   3.35   4.25   5.42  11908    1.0
outl_loglike[201]   4.62  3.4e-3   0.63   3.46   4.18   4.58   5.02   5.93  34519    1.0
outl_loglike[202]   4.79  3.2e-3   0.58   3.77   4.37   4.74   5.16   6.05  33497    1.0
outl_loglike[203]   4.63  3.4e-3   0.62   3.52   4.21    4.6   5.03   5.94  32983    1.0
outl_loglike[204]   4.77  3.3e-3   0.59   3.74   4.35   4.73   5.15   6.04  32945    1.0
outl_loglike[205]   4.37  3.6e-3   0.68   3.07   3.91   4.35   4.81   5.75  35126    1.0
outl_loglike[206]   4.72  3.4e-3   0.61   3.63    4.3   4.68    5.1   6.01  32942    1.0
outl_loglike[207]   1.96  7.1e-3   1.25  -0.76   1.22   2.06   2.82   4.16  31333    1.0
outl_loglike[208]   4.78  3.3e-3   0.59   3.76   4.36   4.73   5.15   6.05  32661    1.0
outl_loglike[209]   4.53  4.4e-3   0.73   3.03    4.1   4.54   4.99   5.93  27959    1.0
outl_loglike[210]    4.6  3.4e-3   0.64   3.43   4.17   4.57   5.01   5.92  35191    1.0
outl_loglike[211]    4.5  3.6e-3   0.66   3.25   4.06   4.47   4.92   5.85  33697    1.0
outl_loglike[212]   4.79  3.2e-3   0.59   3.77   4.37   4.74   5.16   6.05  33614    1.0
outl_loglike[213]   4.75  3.2e-3   0.59   3.71   4.33   4.71   5.13   6.03  33504    1.0
outl_loglike[214]   4.76  3.3e-3   0.59   3.71   4.34   4.72   5.14   6.03  33430    1.0
outl_loglike[215]   4.76  3.2e-3   0.59   3.74   4.35   4.72   5.14   6.03  33395    1.0
outl_loglike[216]   4.77  3.2e-3   0.59   3.75   4.35   4.73   5.14   6.04  33011    1.0
outl_loglike[217]   4.73  3.3e-3    0.6   3.66    4.3   4.69   5.11   6.01  33054    1.0
outl_loglike[218]   4.48  3.5e-3   0.67   3.22   4.04   4.46    4.9   5.84  35762    1.0
outl_loglike[219]   4.78  3.2e-3   0.59   3.76   4.36   4.74   5.15   6.05  32976    1.0
outl_loglike[220]   3.69  4.5e-3   0.85   1.93   3.16   3.71   4.26    5.3  36106    1.0
outl_loglike[221]   3.36  5.0e-3    0.9    1.5   2.79   3.39   3.96   5.05  33040    1.0
outl_loglike[222]    4.7  3.4e-3   0.62   3.59   4.28   4.67   5.09    6.0  32883    1.0
outl_loglike[223]   4.67  3.3e-3   0.62   3.55   4.25   4.64   5.06   5.98  35006    1.0
outl_loglike[224]   4.63  3.5e-3   0.63   3.47    4.2    4.6   5.03   5.94  33191    1.0
